id,prov,ambos,varon,mujer
0,BuenosAires,17541141,8607537,8933604
1,CABA,3075646,1444545,1631101
2,Catamarca,415438,207933,207505
3,Chaco,1204541,594394,610147
4,Chubut,618994,310185,308809
5,Corrientes,1120801,553026,567775
6,Córdoba,3760450,1839612,1920838
7,EntreRíos,1385961,680822,705139
8,Formosa,605193,301213,303980
9,Jujuy,770881,380872,390009
10,LaPampa,358428,177801,180627
11,LaRioja,393531,195919,197612
12,Mendoza,1990338,979191,1011147
13,Misiones,1261294,629747,631547
14,Neuquén,664057,330070,333987
15,RioNegro,747610,372770,374840
16,Salta,1424397,704765,719632
17,SanJuan,781217,387326,393891
18,SanLuis,508328,252170,256158
19,SantaCruz,365698,187852,177846
20,SantaFe,3536418,1723202,1813216
21,SantiagodelEstero,978313,486897,491416
22,TierradelFuego,173432,88412,85020
23,Tucumán,1694656,836871,857785
